"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C3","CPOL-USC","PANASONIC_C","0.8314","3.744","Top","270.0","22u"
"C4","C-USC0603","CAP_0603","1.1273","3.4874","Top","180.0","100n"
"C9","CPOL-USC","PANASONIC_C","1.4955","3.7753","Top","270.0","22u"
"D20","MB1S","SOP-4/6.5x2.54","1.7794","3.7186","Top","90.0","MB1S"
"IC1","LM4041C12DBZ","DBZ_R-PDSO-G3","1.5606","3.5432","Top","0.0","LM4040 5.0V"
"IC2","REG1117","SOT223","1.1646","3.7464","Top","0.0","LM1117-5.0"
"J10","M05X2PTH","AVR_ICSP","1.1607","4.5002","Top","90.0","M05X2PTH"
"R1","R-US_R0603","RES_0603","1.7022","3.4874","Top","180.0","3.3k"
"R2","R-US_R0603","RES_0603","1.8504","3.4874","Top","0.0","3.3k"
"C1_1","C-USC0603","CAP_0603","1.6148","1.719","Top","180.0","100n"
"C2_1","C-USC0603","CAP_0603","1.8648","1.644","Top","180.0","1n"
"C5_1","C-USC0603","CAP_0603","1.2585","1.6315","Top","0.0","1n"
"C6_1","C-USC0603","CAP_0603","1.4398","2.5313","Top","180.0","100n"
"C7_1","C-USC0603","CAP_0603","1.4295","3.0994","Top","180.0","100n"
"C8_1","C-USC0603","CAP_0603","1.428","3.1876","Top","180.0","100n"
"IC3_1","MCP6002","SO08","1.5569","1.5378","Top","270.0","MCP6002"
"IC4_1","ATMEGA168","TQFP32-08","1.4397","2.788","Top","90.0","ATMEGA88PA-AU"
"J1_1","PJ301_THONKICONN6","Thonkiconn","1.7607","1.569","Bottom","180.0","CV1"
"J2_1","","Thonkiconn","1.367","1.569","Bottom","180.0","CV2"
"J3_1","PJ301_THONKICONN6","Thonkiconn","1.7607","2.044","Bottom","0.0","IN1"
"J4_1","PJ301_THONKICONN6","Thonkiconn","1.367","2.044","Bottom","0.0","IN2"
"J5_1","PJ301_THONKICONN6","Thonkiconn","1.7607","1.1064","Bottom","0.0","OUT1A"
"J6_1","PJ301_THONKICONN6","Thonkiconn","1.7607","0.6315","Bottom","180.0","OUT1B"
"J7_1","PJ301_THONKICONN6","Thonkiconn","1.367","1.108","Bottom","0.0","OUT2A"
"J8_1","PJ301_THONKICONN6","Thonkiconn","1.367","0.6315","Bottom","180.0","OUT2B"
"J9_1","AVR_SPI_PRG_6PTH","HDR-2x3S/2.54x2.54/Sh15x11","1.742","3.2066","Top","0.0",""
"L1_1","WE-CBF_0603","0603","1.427","3.2738","Top","0.0",""
"Q1_1","MMBT3904LT1-NPN-SOT23-BEC","SOT23-BEC","1.5285","2.0788","Top","0.0","MMBT3904"
